KATEGORI	BARCODE	ARTIKEL	NAMA	SIZE		HARGA JUAL	HARGA MODAL	QTY	HARGA NET
APAREL	4055014 814859	AA 0336	JUVE H JSY	S	JUVE H JSY;AA 0336;S	 Rp 849,000 	  496,665.00 	1	  496,665.00 
APAREL	4055014 814798	AA 0336	JUVE H JSY	M	JUVE H JSY;AA 0336;M	 Rp 849,000 	  496,665.00 	2	  993,330.00 
APAREL	4055014 814750	AA 0336	JUVE H JSY	L	JUVE H JSY;AA 0336;L	 Rp 849,000 	  496,665.00 	1	  496,665.00 
APAREL							  -   		  -   
APAREL	4055014 015606	AA 0644	RS SS M	S	RS SS M;AA 0644;S	 Rp 279,000 	  163,215.00 	4	  652,860.00 
APAREL	4055014 015644	AA 0644	RS SS M	M	RS SS M;AA 0644;M	 Rp 279,000 	  163,215.00 	6	  979,290.00 
APAREL	4055014 015682	AA 0644	RS SS M	L	RS SS M;AA 0644;L	 Rp 279,000 	  163,215.00 	3	  489,645.00 
APAREL	4055014 015729	AA 0644	RS SS M	XL	RS SS M;AA 0644;XL	 Rp 279,000 	  163,215.00 	1	  163,215.00 
APAREL							  -   		  -   
APAREL	4055015 232805	AA 0672	RS 5INCH SHO M	S	RS 5INCH SHO M;AA 0672;S	 Rp 279,000 	  163,215.00 	1	  163,215.00 
APAREL	4055015 232737	AA 0672	RS 5INCH SHO M	M	RS 5INCH SHO M;AA 0672;M	 Rp 279,000 	  163,215.00 	0	  -   
APAREL	4055015 232829	AA 0672	RS 5INCH SHO M	L	RS 5INCH SHO M;AA 0672;L	 Rp 279,000 	  163,215.00 	2	  326,430.00 
APAREL	4055015 232799	AA 0672	RS 5INCH SHO M	XL	RS 5INCH SHO M;AA 0672;XL	 Rp 279,000 	  163,215.00 	1	  163,215.00 
APAREL							  -   		  -   
APAREL	4055017 227236	AA 2814	NADO15 JSY	S	NADO15 JSY;AA 2814;S	 Rp 249,000 	  145,665.00 	1	  145,665.00 
APAREL	4055017 224365	AA 2814	NADO15 JSY	M	NADO15 JSY;AA 2814;M	 Rp 249,000 	  145,665.00 	1	  145,665.00 
APAREL	4055017 224266	AA 2814	NADO15 JSY	L	NADO15 JSY;AA 2814;L	 Rp 249,000 	  145,665.00 	1	  145,665.00 
APAREL							  -   		  -   
APAREL	4055017 416708	AA 2815	NADO15 JSY	S	NADO15 JSY;AA 2815;S	 Rp 249,000 	  145,665.00 	1	  145,665.00 
APAREL	4055017 416647	AA 2815	NADO15 JSY	M	NADO15 JSY;AA 2815;M	 Rp 249,000 	  145,665.00 	2	  291,330.00 
APAREL	4055017 416739	AA 2815	NADO15 JSY	L	NADO15 JSY;AA 2815;L	 Rp 249,000 	  145,665.00 	1	  145,665.00 
APAREL	4055017 416685	AA 2815	NADO15 JSY	XL	NADO15 JSY;AA 2815;XL	 Rp 249,000 	  145,665.00 	1	  145,665.00 
APAREL					;;		  -   		  -   
APAREL	4055017 394044	AA 2816	NADO15 JSY	M	NADO15 JSY;AA 2816;M	 Rp 249,000 	  145,665.00 	0	  -   
APAREL					;;		  -   		  -   
APAREL	4055017 146933	AA 2818	NADO15 SHORT	S	NADO15 SHORT;AA 2818;S	 Rp 249,000 	  145,665.00 	1	  145,665.00 
APAREL	4055017 150060	AA 2818	NADO15 SHORT	M	NADO15 SHORT;AA 2818;M	 Rp 249,000 	  145,665.00 	0	  -   
APAREL	4055017 150039	AA 2818	NADO15 SHORT	L	NADO15 SHORT;AA 2818;L	 Rp 249,000 	  145,665.00 	1	  145,665.00 
APAREL	4055017 146917	AA 2818	NADO15 SHORT	XL	NADO15 SHORT;AA 2818;XL	 Rp 249,000 	  145,665.00 	1	  145,665.00 
APAREL					;;		  -   		  -   
APAREL	4055014 196952	AA 2819	NADO15 SHORT	S	NADO15 SHORT;AA 2819;S	 Rp 249,000 	  145,665.00 	1	  145,665.00 
APAREL	4055017 196921	AA 2819	NADO15 SHORT	M	NADO15 SHORT;AA 2819;M	 Rp 249,000 	  145,665.00 	1	  145,665.00 
APAREL	4055017 197065	AA 2819	NADO15 SHORT	L	NADO15 SHORT;AA 2819;L	 Rp 249,000 	  145,665.00 	1	  145,665.00 
APAREL					;;		  -   		  -   
APAREL	4055017 262114	AA 2830	RAMA15 JSY	S	RAMA15 JSY;AA 2830;S	 Rp 299,000 	  174,915.00 	1	  174,915.00 
APAREL					;;		  -   		  -   
APAREL	4055017 177210	AA 2831	RAMA15 JSY	S	RAMA15 JSY;AA 2831;S	 Rp 299,000 	  174,915.00 	1	  174,915.00 
APAREL	4055017 170884	AA 2831	RAMA15 JSY	XL	RAMA15 JSY;AA 2831;XL	 Rp 299,000 	  174,915.00 	1	  174,915.00 
APAREL					;;		  -   		  -   
APAREL	4055017 325369	AA 4141	BOOST BERLIN	S	BOOST BERLIN;AA 4141;S	 Rp 329,000 	  192,465.00 	1	  192,465.00 
APAREL	4055017 325376	AA 4141	BOOST BERLIN	M	BOOST BERLIN;AA 4141;M	 Rp 329,000 	  192,465.00 	1	  192,465.00 
APAREL	4055017 324751	AA 4141	BOOST BERLIN	L	BOOST BERLIN;AA 4141;L	 Rp 329,000 	  192,465.00 	2	  384,930.00 
APAREL	4055017 325352	AA 4141	BOOST BERLIN	XL	BOOST BERLIN;AA 4141;XL	 Rp 329,000 	  192,465.00 	2	  384,930.00 
APAREL					;;		  -   		  -   
APAREL	4055017 274834	AA 4144	BOOST LDN	S	BOOST LDN;AA 4144;S	 Rp 329,000 	  192,465.00 	1	  192,465.00 
APAREL	4055017 274827	AA 4144	BOOST LDN	M	BOOST LDN;AA 4144;M	 Rp 329,000 	  192,465.00 	3	  577,395.00 
APAREL	4055017 276777	AA 4144	BOOST LDN	L	BOOST LDN;AA 4144;L	 Rp 329,000 	  192,465.00 	3	  577,395.00 
APAREL	4055017 274858	AA 4144	BOOST LDN	XL 	BOOST LDN;AA 4144;XL 	 Rp 329,000 	  192,465.00 	2	  384,930.00 
APAREL					;;		  -   		  -   
APAREL	4055017 226680	AA 4148	BOOST TKY	S	BOOST TKY;AA 4148;S	 Rp 329,000 	  192,465.00 	1	  192,465.00 
APAREL	4055017 226734	AA 4148	BOOST TKY	M	BOOST TKY;AA 4148;M	 Rp 329,000 	  192,465.00 	0	  -   
APAREL	4055017 226710	AA 4148	BOOST TKY	L	BOOST TKY;AA 4148;L	 Rp 329,000 	  192,465.00 	2	  384,930.00 
APAREL	4055017 226789	AA 4148	BOOST TKY	XL	BOOST TKY;AA 4148;XL	 Rp 329,000 	  192,465.00 	2	  384,930.00 
APAREL					;;		  -   		  -   
APAREL	4055017 276968	AA 4149	BOOST BEIJING	S	BOOST BEIJING;AA 4149;S	 Rp 329,000 	  192,465.00 	1	  192,465.00 
APAREL	4055017 276906	AA 4149	BOOST BEIJING	M	BOOST BEIJING;AA 4149;M	 Rp 329,000 	  192,465.00 	3	  577,395.00 
APAREL	4055017 276876	AA 4149	BOOST BEIJING	L	BOOST BEIJING;AA 4149;L	 Rp 329,000 	  192,465.00 	3	  577,395.00 
APAREL	4055017 276951	AA 4149	BOOST BEIJING	XL	BOOST BEIJING;AA 4149;XL	 Rp 329,000 	  192,465.00 	2	  384,930.00 
APAREL					;;		  -   		  -   
APAREL	4055017 217671	AA 4176	PES BOOST URUN	XS	PES BOOST URUN;AA 4176;XS	 Rp 299,000 	  174,915.00 	0	  -   
APAREL	4055017 217633	AA 4176	PES BOOST URUN	M	PES BOOST URUN;AA 4176;M	 Rp 299,000 	  174,915.00 	0	  -   
APAREL	4055017 217589	AA 4176	PES BOOST URUN	L	PES BOOST URUN;AA 4176;L	 Rp 299,000 	  174,915.00 	0	  -   
APAREL					;;		  -   		  -   
APAREL	4055017 226963	AA 4177	PES BOOST URUN	L	PES BOOST URUN;AA 4177;L	 Rp 299,000 	  174,915.00 	1	  174,915.00 
APAREL					;;		  -   		  -   
APAREL	4055017 330257	AA 4205	BOOST NYC	S	BOOST NYC;AA 4205;S	 Rp 329,000 	  192,465.00 	1	  192,465.00 
APAREL	4055017 330288	AA 4205	BOOST NYC	M	BOOST NYC;AA 4205;M	 Rp 329,000 	  192,465.00 	3	  577,395.00 
APAREL	4055017 330325	AA 4205	BOOST NYC	L	BOOST NYC;AA 4205;L	 Rp 329,000 	  192,465.00 	3	  577,395.00 
APAREL	4055017 330240	AA 4205	BOOST NYC	XL	BOOST NYC;AA 4205;XL	 Rp 329,000 	  192,465.00 	2	  384,930.00 
APAREL					;;		  -   		  -   
APAREL	4055017 332589	AA 4240	HULK	S	HULK;AA 4240;S	 Rp 229,000 	  133,965.00 	0	  -   
APAREL	4055017 302223	AA 4240	HULK	M	HULK;AA 4240;M	 Rp 229,000 	  133,965.00 	0	  -   
APAREL	4055017 302216	AA 4240	HULK	L	HULK;AA 4240;L	 Rp 229,000 	  133,965.00 	2	  267,930.00 
APAREL	4055017 302186	AA 4240	HULK	XL	HULK;AA 4240;XL	 Rp 229,000 	  133,965.00 	2	  267,930.00 
APAREL					;;		  -   		  -   
APAREL	4055017 351528	AA 4241	CAPTAIN AMERICA	S	CAPTAIN AMERICA;AA 4241;S	 Rp 229,000 	  133,965.00 	1	  133,965.00 
APAREL	4055017 276586	AA 4241	CAPTAIN AMERICA	M	CAPTAIN AMERICA;AA 4241;M	 Rp 229,000 	  133,965.00 	1	  133,965.00 
APAREL	4055017 351481	AA 4241	CAPTAIN AMERICA	L	CAPTAIN AMERICA;AA 4241;L	 Rp 229,000 	  133,965.00 	2	  267,930.00 
APAREL	4055017 351474	AA 4241	CAPTAIN AMERICA	XL	CAPTAIN AMERICA;AA 4241;XL	 Rp 229,000 	  133,965.00 	2	  267,930.00 
APAREL					;;		  -   		  -   
APAREL	4055017 276562	AA 4242	IRON MAN	L	IRON MAN;AA 4242;L	 Rp 229,000 	  133,965.00 	2	  267,930.00 
APAREL	4055017 276623	AA 4242	IRON MAN	XL	IRON MAN;AA 4242;XL	 Rp 229,000 	  133,965.00 	2	  267,930.00 
APAREL					;;		  -   		  -   
APAREL	4055017 132967	AA 4243	THOR	M	THOR;AA 4243;M	 Rp 229,000 	  133,965.00 	2	  267,930.00 
APAREL	4055017 132943	AA 4243	THOR	L	THOR;AA 4243;L	 Rp 229,000 	  133,965.00 	2	  267,930.00 
APAREL	4055017 132882	AA 4243	THOR	XL	THOR;AA 4243;XL	 Rp 229,000 	  133,965.00 	2	  267,930.00 
APAREL					;;		  -   		  -   
APAREL	4055015 001258	AA 6899	RS S TGT M	S	RS S TGT M;AA 6899;S	 Rp 399,000 	  233,415.00 	1	  233,415.00 
APAREL	4055015 001289	AA 6899	RS S TGT M	M	RS S TGT M;AA 6899;M	 Rp 399,000 	  233,415.00 	2	  466,830.00 
APAREL	4055015 297194	AA 6899	RS S TGT M	L	RS S TGT M;AA 6899;L	 Rp 399,000 	  233,415.00 	2	  466,830.00 
APAREL	4055015 001302	AA 6899	RS S TGT M	XL	RS S TGT M;AA 6899;XL	 Rp 399,000 	  233,415.00 	1	  233,415.00 
APAREL					;;		  -   		  -   
APAREL	4055015 031422	AA 6902	RSP SL M	M	RSP SL M;AA 6902;M	 Rp 249,000 	  145,665.00 	3	  436,995.00 
APAREL	4055015 031385	AA 6902	RSP SL M	L	RSP SL M;AA 6902;L	 Rp 249,000 	  145,665.00 	3	  436,995.00 
APAREL	4055015 031408	AA 6902	RSP SL M	XL	RSP SL M;AA 6902;XL	 Rp 249,000 	  145,665.00 	1	  145,665.00 
APAREL					;;		  -   		  -   
APAREL	4055015 237091	AA 6903	RSP SL M	S	RSP SL M;AA 6903;S	 Rp 249,000 	  145,665.00 	0	  -   
APAREL	4055015 237107	AA 6903	RSP SL M	M	RSP SL M;AA 6903;M	 Rp 249,000 	  145,665.00 	2	  291,330.00 
APAREL	0455015 232850	AA 6903	RSP SL M	L	RSP SL M;AA 6903;L	 Rp 249,000 	  145,665.00 	2	  291,330.00 
APAREL	0455015 236995	AA 6903	RSP SL M	XL	RSP SL M;AA 6903;XL	 Rp 249,000 	  145,665.00 	1	  145,665.00 
APAREL					;;		  -   		  -   
APAREL	4055015 229218	AA 6907	RS SS M	S	RS SS M;AA 6907;S	 Rp 279,000 	  163,215.00 	1	  163,215.00 
APAREL	4055015 229348	AA 6907	RS SS M	L	RS SS M;AA 6907;L	 Rp 279,000 	  163,215.00 	1	  163,215.00 
APAREL	4055015 229294	AA 6907	RS SS M	XL	RS SS M;AA 6907;XL	 Rp 279,000 	  163,215.00 	1	  163,215.00 
APAREL					;;		  -   		  -   
APAREL	4055015 263625	AA 6909	RS SS M	S	RS SS M;AA 6909;S	 Rp 279,000 	  163,215.00 	1	  163,215.00 
APAREL	4055015 263670	AA 6909	RS SS M	M	RS SS M;AA 6909;M	 Rp 279,000 	  163,215.00 	1	  163,215.00 
APAREL	0455015 267821	AA 6909	RS SS M	XL	RS SS M;AA 6909;XL	 Rp 279,000 	  163,215.00 	0	  -   
APAREL					;;		  -   		  -   
APAREL	4055015 010113	AA 6911	RS SS M	S	RS SS M;AA 6911;S	 Rp 279,000 	  163,215.00 	3	  489,645.00 
APAREL	4055015 010151	AA 6911	RS SS M	M	RS SS M;AA 6911;M	 Rp 279,000 	  163,215.00 	5	  816,075.00 
APAREL	4055015 014241	AA 6911	RS SS M	L	RS SS M;AA 6911;L	 Rp 279,000 	  163,215.00 	4	  652,860.00 
APAREL	4055015 010045	AA 6911	RS SS M	XL	RS SS M;AA 6911;XL	 Rp 279,000 	  163,215.00 	2	  326,430.00 
APAREL					;;		  -   		  -   
APAREL	4055015 074795	AA 6912	RS SS M	S	RS SS M;AA 6912;S	 Rp 279,000 	  163,215.00 	3	  489,645.00 
APAREL	4055015 074818	AA 6912	RS SS M	M	RS SS M;AA 6912;M	 Rp 279,000 	  163,215.00 	4	  652,860.00 
APAREL	4055015 079004	AA 6912	RS SS M	L	RS SS M;AA 6912;L	 Rp 279,000 	  163,215.00 	4	  652,860.00 
APAREL	4055015 079059	AA 6912	RS SS M	XL	RS SS M;AA 6912;XL	 Rp 279,000 	  163,215.00 	2	  326,430.00 
APAREL					;;		  -   		  -   
APAREL	4055015 005942	AA 6922	RS LS M	S	RS LS M;AA 6922;S	 Rp 329,000 	  192,465.00 	0	  -   
APAREL	4055015 006017	AA 6922	RS LS M	M	RS LS M;AA 6922;M	 Rp 329,000 	  192,465.00 	0	  -   
