KATEGORI	BARCODE	ARTIKEL	NAMA	SIZE		HARGA JUAL	HARGA MODAL	QTY	HARGA NET
HEADWERE	4054709 621765	F 87292	PREDATOR LESTO	M	PREDATOR LESTO;F 87292;M	 Rp 99,000 	  57,915.00 	2	  115,830.00 
HEADWERE	4054709 621772	F 87292	PREDATOR LESTO	L	PREDATOR LESTO;F 87292;L	 Rp 99,000 	  57,915.00 	1	  57,915.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4054709 182099	F 93411	EUROPE ANQGLI	5	EUROPE ANQGLI;F 93411;5	 Rp 219,000 	  128,115.00 	1	  128,115.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4052554 425712	G 68650	TEN HEADBAND	OSFM	TEN HEADBAND;G 68650;OSFM	 Rp 89,000 	  52,065.00 	5	  260,325.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4052554 425736	G 68655	TEN WB S	OSFM	TEN WB S;G 68655;OSFM	 Rp 89,000 	  52,065.00 	1	  52,065.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4052554 345843	G 68725	3S ESS TB M	M	3S ESS TB M;G 68725;M	 Rp 449,000 	  262,665.00 	1	  262,665.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4052554 740471	G 70842	RUN LOAD 3S WB	NS	RUN LOAD 3S WB;G 70842;NS	 Rp 249,000 	  145,665.00 	4	  582,660.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4052557 524023	G 71366	ALWAIST I	NS	ALWAIST I;G 71366;NS	 Rp 299,000 	  174,915.00 	4	  699,660.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4051557 419060	G 71476	FT LINER	39 42	FT LINER;G 71476;39 42	 Rp 49,000 	  28,665.00 	4	  114,660.00 
HEADWERE	4052557 419077	G 71476	FT LINER	43 46	FT LINER;G 71476;43 46	 Rp 49,000 	  28,665.00 	1	  28,665.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4052552 574290	G 73435	F50 TRAINING	10	F50 TRAINING;G 73435;10	 Rp 249,000 	  145,665.00 	2	  291,330.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4052552 779428	G 73516	FINALE 13 FCB C	4	FINALE 13 FCB C;G 73516;4	 Rp 179,000 	  104,715.00 	3	  314,145.00 
HEADWERE	4052552 779435	G 73516	FINALE 13 FCB C	5	FINALE 13 FCB C;G 73516;5	 Rp 179,000 	  104,715.00 	1	  104,715.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4052552 779824	G 73660	FREE FOOTBALL SALA 5X5	FUTS	FREE FOOTBALL SALA 5X5;G 73660;FUTS	 Rp 199,000 	  116,415.00 	0	  -   
HEADWERE					;;		  -   		  -   
HEADWERE	4053511 847486	G 84096	PRED FS REQLIQE	8	PRED FS REQLIQE;G 84096;8	 Rp 599,000 	  350,415.00 	1	  350,415.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4053511 848407	G 84115	PRED REPLIQUE	8	PRED REPLIQUE;G 84115;8	 Rp 349,000 	  204,165.00 	2	  408,330.00 
HEADWERE	4053511 848421	G 84115	PRED REPLIQUE	9	PRED REPLIQUE;G 84115;9	 Rp 349,000 	  204,165.00 	1	  204,165.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4052557 092966	G 85480	TEN WB S	OSFM	TEN WB S;G 85480;OSFM	 Rp 89,000 	  52,065.00 	2	  104,130.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4054709 157424	G 90160	REAL SB	NS	REAL SB;G 90160;NS	 Rp 179,000 	  104,715.00 	0	  -   
HEADWERE					;;		  -   		  -   
HEADWERE	4054709 148811	G 90172	CFC SB	NS	CFC SB;G 90172;NS	 Rp 179,000 	  104,715.00 	0	  -   
HEADWERE					;;		  -   		  -   
HEADWERE	4054709 071263	M 30607	ANKLE S TREF 3 P	39 42	ANKLE S TREF 3 P;M 30607;39 42	 Rp 219,000 	  128,115.00 	13	  1,665,495.00 
HEADWERE					;;		  -   		  -   
