KATEGORI	BARCODE	ARTIKEL	NAMA	SIZE	NAM;ART;SIZE	HARGA JUAL	HARGA MODAL	QTY	HARGA NET
FOOTWERE	4054067 978600	M 17387	TERREX SWIFTR	9	TERREX SWIFTR;M 17387;9	 Rp 1,499,000 	  876,915.00 	1	  876,915.00 
FOOTWERE	4054067 978617	M 17387	TERREX SWIFTR	9-	TERREX SWIFTR;M 17387;9-	 Rp 1,499,000 	  876,915.00 	1	  876,915.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4054075 043185	M 17666	F 5 IN (MESSI)	6	F 5 IN (MESSI);M 17666;6	 Rp 549,000 	  321,165.00 	0	  -   
FOOTWERE					;;		  -   		  -   
FOOTWERE	4054075 152849	M 17763	CARODAS SLIDE W	4	CARODAS SLIDE W;M 17763;4	 Rp 249,000 	  145,665.00 	4	  582,660.00 
FOOTWERE	4054075 152856	M 17763	CARODAS SLIDE W	5	CARODAS SLIDE W;M 17763;5	 Rp 249,000 	  145,665.00 	1	  145,665.00 
FOOTWERE	4054075 152863	M 17763	CARODAS SLIDE W	6	CARODAS SLIDE W;M 17763;6	 Rp 249,000 	  145,665.00 	1	  145,665.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4054075 155734	M 17764	COROZOON F50 M	8	COROZOON F50 M;M 17764;8	 Rp 299,000 	  174,915.00 	2	  349,830.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4054075 153365	M 17768	C Q 270 SLIDE M	9	C Q 270 SLIDE M;M 17768;9	 Rp 449,000 	  262,665.00 	2	  525,330.00 
FOOTWERE					;;				  -   
FOOTWERE	4054075 150555	M 17829	CC REVO 3 SLIDE	6	CC REVO 3 SLIDE;M 17829;6	 Rp 449,000 	  262,665.00 	1	  262,665.00 
FOOTWERE	4054075 150586	M 17829	CC REVO 3 SLIDE	9	CC REVO 3 SLIDE;M 17829;9	 Rp 449,000 	  262,665.00 	1	  262,665.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4054075 150647	M 17830	CC REVO 3 SLIDE	6	CC REVO 3 SLIDE;M 17830;6	 Rp 449,000 	  262,665.00 	1	  262,665.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4054075 150388	M 17837	DURAMO SLEEK W	4	DURAMO SLEEK W;M 17837;4	 Rp 189,000 	  110,565.00 	4	  442,260.00 
FOOTWERE	4054075 150395	M 17837	DURAMO SLEEK W	5	DURAMO SLEEK W;M 17837;5	 Rp 189,000 	  110,565.00 	6	  663,390.00 
FOOTWERE	4054075 150401	M 17837	DURAMO SLEEK W	6	DURAMO SLEEK W;M 17837;6	 Rp 189,000 	  110,565.00 	1	  110,565.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4054075 150159	M 17838	DURAMO SLEET W	4	DURAMO SLEET W;M 17838;4	 Rp 189,000 	  110,565.00 	2	  221,130.00 
FOOTWERE	4054075 150166	M 17838	DURAMO SLEET W	5	DURAMO SLEET W;M 17838;5	 Rp 189,000 	  110,565.00 	3	  331,695.00 
FOOTWERE	4054075 150173	M 17838	DURAMO SLEET W	6	DURAMO SLEET W;M 17838;6	 Rp 189,000 	  110,565.00 	4	  442,260.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4054075 155901	M 17932	SC BEACH 3 POINT GR	6	SC BEACH 3 POINT GR;M 17932;6	 Rp 399,000 	  233,415.00 	4	  933,660.00 
FOOTWERE	4054075 155918	M 17932	SC BEACH 3 POINT GR	7	SC BEACH 3 POINT GR;M 17932;7	 Rp 399,000 	  233,415.00 	4	  933,660.00 
FOOTWERE	4054075 155925	M 17932	SC BEACH 3 POINT GR	8	SC BEACH 3 POINT GR;M 17932;8	 Rp 399,000 	  233,415.00 	3	  700,245.00 
FOOTWERE	4054075 155932	M 17932	SC BEACH 3 POINT GR	9	SC BEACH 3 POINT GR;M 17932;9	 Rp 399,000 	  233,415.00 	1	  233,415.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4054075 023316	M 18405	BREEZE 101 2 M	7-	BREEZE 101 2 M;M 18405;7-	 Rp 599,000 	  350,415.00 	2	  700,830.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4054075 043185	M 18435	NITROCHARGE 3.0 IN	7-	NITROCHARGE 3.0 IN;M 18435;7-	 Rp 599,000 	  350,415.00 	0	  -   
FOOTWERE					;;		  -   		  -   
FOOTWERE	4054075 227660	M 18522	CLIMACOOL BOAT LACE	4-	CLIMACOOL BOAT LACE;M 18522;4-	 Rp 999,000 	  584,415.00 	1	  584,415.00 
FOOTWERE	4054075 227677	M 18522	CLIMACOOL BOAT LACE	5	CLIMACOOL BOAT LACE;M 18522;5	 Rp 999,000 	  584,415.00 	2	  1,168,830.00 
FOOTWERE	4054075 227684	M 18522	CLIMACOOL BOAT LACE	5-	CLIMACOOL BOAT LACE;M 18522;5-	 Rp 999,000 	  584,415.00 	1	  584,415.00 
FOOTWERE	4054075 227769	M 18522	CLIMACOOL BOAT LACE	9-	CLIMACOOL BOAT LACE;M 18522;9-	 Rp 999,000 	  584,415.00 	1	  584,415.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4054067 976378	M 18549	SPORT HIKER	6	SPORT HIKER;M 18549;6	 Rp 999,000 	  584,415.00 	0	  -   
FOOTWERE	4054067 976408	M 18549	SPORT HIKER	7-	SPORT HIKER;M 18549;7-	 Rp 999,000 	  584,415.00 	0	  -   
FOOTWERE	4054067 976422	M 18549	SPORT HIKER	8-	SPORT HIKER;M 18549;8-	 Rp 999,000 	  584,415.00 	0	  -   
FOOTWERE	4054067 976439	M 18549	SPORT HIKER	9	SPORT HIKER;M 18549;9	 Rp 999,000 	  584,415.00 	0	  -   
FOOTWERE					;;		  -   		  -   
FOOTWERE	4054067 976712	M 18550	SPORT HIKER	6	SPORT HIKER;M 18550;6	 Rp 999,000 	  584,415.00 	0	  -   
FOOTWERE	4054067 976729	M 18550	SPORT HIKER	6-	SPORT HIKER;M 18550;6-	 Rp 999,000 	  584,415.00 	0	  -   
FOOTWERE	4054067 976767	M 18550	SPORT HIKER	8-	SPORT HIKER;M 18550;8-	 Rp 999,000 	  584,415.00 	0	  -   
FOOTWERE					;;		  -   		  -   
FOOTWERE	4054075 016738 	M 18658	GALAXY  M	6	GALAXY  M;M 18658;6	 Rp 649,000 	  379,665.00 	1	  379,665.00 
FOOTWERE	4054075 016752	M 18658	GALAXY  M	7	GALAXY  M;M 18658;7	 Rp 649,000 	  379,665.00 	2	  759,330.00 
FOOTWERE	4054075 016783	M 18658	GALAXY  M	8-	GALAXY  M;M 18658;8-	 Rp 649,000 	  379,665.00 	1	  379,665.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4054067 786694	M 18683	AX 2 CAMO	6	AX 2 CAMO;M 18683;6	 Rp 1,199,000 	  701,415.00 	0	  -   
FOOTWERE	4054067 786731	M 18683	AX 2 CAMO	8	AX 2 CAMO;M 18683;8	 Rp 1,199,000 	  701,415.00 	0	  -   
FOOTWERE	4054067 786755	M 18683	AX 2 CAMO	9	AX 2 CAMO;M 18683;9	 Rp 1,199,000 	  701,415.00 	1	  701,415.00 
FOOTWERE	4054057 786779	M 18683	AX 2 CAMO	10	AX 2 CAMO;M 18683;10	 Rp 1,199,000 	  701,415.00 	2	  1,402,830.00 
FOOTWERE	4054057 786793	M 18683	AX 2 CAMO	11	AX 2 CAMO;M 18683;11	 Rp 1,199,000 	  701,415.00 	1	  701,415.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4054075 349775	M 18757	CC SONIC BOOST M	10	CC SONIC BOOST M;M 18757;10	 Rp 1,299,000 	  759,915.00 	0	  -   
FOOTWERE	4054075 349799	M 18757	CC SONIC BOOST M	11	CC SONIC BOOST M;M 18757;11	 Rp 1,299,000 	  759,915.00 	1	  759,915.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055008 422411	M 19150	SL STREET	8	SL STREET;M 19150;8	 Rp 769,000 	  449,865.00 	0	  -   
FOOTWERE	4055008 422459	M 19150	SL STREET	8-	SL STREET;M 19150;8-	 Rp 769,000 	  449,865.00 	0	  -   
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055008 422558	M 19151	SL STREET	9-	SL STREET;M 19151;9-	 Rp 769,000 	  449,865.00 	1	  449,865.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055012 230453	M 19694	RACER LITE	8	RACER LITE;M 19694;8	 Rp 1,099,000 	  642,915.00 	3	  1,928,745.00 
FOOTWERE	4055012 230507	M 19694	RACER LITE	8-	RACER LITE;M 19694;8-	 Rp 1,099,000 	  642,915.00 	2	  1,285,830.00 
FOOTWERE	4055012 230415	M 19694	RACER LITE	9	RACER LITE;M 19694;9	 Rp 1,099,000 	  642,915.00 	3	  1,928,745.00 
FOOTWERE	4055012 230460	M 19694	RACER LITE	9-	RACER LITE;M 19694;9-	 Rp 1,099,000 	  642,915.00 	1	  642,915.00 
FOOTWERE	4055012 234642	M 19694	RACER LITE	10	RACER LITE;M 19694;10	 Rp 1,099,000 	  642,915.00 	2	  1,285,830.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055012 234819	M 19695	RACER LITE	7	RACER LITE;M 19695;7	 Rp 1,099,000 	  642,915.00 	1	  642,915.00 
FOOTWERE	4055012 234727	M 19695	RACER LITE	7-	RACER LITE;M 19695;7-	 Rp 1,099,000 	  642,915.00 	1	  642,915.00 
FOOTWERE	4055012 234741	M 19695	RACER LITE	8	RACER LITE;M 19695;8	 Rp 1,099,000 	  642,915.00 	3	  1,928,745.00 
FOOTWERE	4055012 234697	M 19695	RACER LITE	8-	RACER LITE;M 19695;8-	 Rp 1,099,000 	  642,915.00 	1	  642,915.00 
FOOTWERE	4055012 234826	M 19695	RACER LITE	9	RACER LITE;M 19695;9	 Rp 1,099,000 	  642,915.00 	3	  1,928,745.00 
FOOTWERE	4055012 234789	M 19695	RACER LITE	9-	RACER LITE;M 19695;9-	 Rp 1,099,000 	  642,915.00 	1	  642,915.00 
FOOTWERE	4055012 234673	M 19695	RACER LITE	11	RACER LITE;M 19695;11	 Rp 1,099,000 	  642,915.00 	1	  642,915.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4054067 799694	M 19847	ADIPURE 360.2 M	6-	ADIPURE 360.2 M;M 19847;6-	 Rp 1,199,000 	  701,415.00 	0	  -   
FOOTWERE	4054067 799717	M 19847	ADIPURE 360.2 M	7-	ADIPURE 360.2 M;M 19847;7-	 Rp 1,199,000 	  701,415.00 	0	  -   
FOOTWERE	4054076 799731	M 19847	ADIPURE 360.2 M	8-	ADIPURE 360.2 M;M 19847;8-	 Rp 1,199,000 	  701,415.00 	0	  -   
FOOTWERE									
FOOTWERE	4054067 583996	M 20319	KIEL	10	KIEL;M 20319;10	 Rp 699,000 	  408,915.00 	1	  408,915.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4054067 584153	M 20323	KIEL	7-	KIEL;M 20323;7-	 Rp 699,000 	  408,915.00 	1	  408,915.00 
FOOTWERE	4054067 584177	M 20323	KIEL	8-	KIEL;M 20323;8-	 Rp 699,000 	  408,915.00 	2	  817,830.00 
FOOTWERE	4054067 584184	M 20323	KIEL	9	KIEL;M 20323;9	 Rp 699,000 	  408,915.00 	1	  408,915.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055013 774529	M 21569	GT ADAN TR	7	GT ADAN TR;M 21569;7	 Rp 1,199,000 	  701,415.00 	1	  701,415.00 
FOOTWERE	4055013 774567	M 21569	GT ADAN TR	7-	GT ADAN TR;M 21569;7-	 Rp 1,199,000 	  701,415.00 	1	  701,415.00 
FOOTWERE	4055013 774864	M 21569	GT ADAN TR	8	GT ADAN TR;M 21569;8	 Rp 1,199,000 	  701,415.00 	4	  2,805,660.00 
FOOTWERE	4055013 774437	M 21569	GT ADAN TR	8-	GT ADAN TR;M 21569;8-	 Rp 1,199,000 	  701,415.00 	1	  701,415.00 
FOOTWERE	4055013 774451	M 21569	GT ADAN TR	9	GT ADAN TR;M 21569;9	 Rp 1,199,000 	  701,415.00 	3	  2,104,245.00 
FOOTWERE	4055013 774543	M 21569	GT ADAN TR	10	GT ADAN TR;M 21569;10	 Rp 1,199,000 	  701,415.00 	1	  701,415.00 
FOOTWERE	4055013 774406	M 21569	GT ADAN TR	11	GT ADAN TR;M 21569;11	 Rp 1,199,000 	  701,415.00 	1	  701,415.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055013 578424	M 21647	ADIPURE SLIDE M	9	ADIPURE SLIDE M;M 21647;9	 Rp 429,000 	  250,965.00 	2	  501,930.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055014 379983	M 21705	BARRICADE TEAM 4	6-	BARRICADE TEAM 4;M 21705;6-	 Rp 1,099,000 	  642,915.00 	2	  1,285,830.00 
FOOTWERE	4055014 379860	M 21705	BARRICADE TEAM 5	8-	BARRICADE TEAM 5;M 21705;8-	 Rp 1,099,000 	  642,915.00 	1	  642,915.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055014 380088	M 21706	BARICADE TEAM 4	9	BARICADE TEAM 4;M 21706;9	 Rp 1,099,000 	  642,915.00 	4	  2,571,660.00 
FOOTWERE	4055014 380026	M 21706	BARICADE TEAM 5	10	BARICADE TEAM 5;M 21706;10	 Rp 1,099,000 	  642,915.00 	1	  642,915.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055014 384246	M 21707	BARRICADE TEAM 4	8	BARRICADE TEAM 4;M 21707;8	 Rp 1,099,000 	  642,915.00 	1	  642,915.00 
FOOTWERE	4055014 384277	M 21707	BARRICADE TEAM 5	8-	BARRICADE TEAM 5;M 21707;8-	 Rp 1,099,000 	  642,915.00 	1	  642,915.00 
FOOTWERE	4055014 384314	M 21707	BARRICADE TEAM 6	9	BARRICADE TEAM 6;M 21707;9	 Rp 1,099,000 	  642,915.00 	1	  642,915.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4054067 169770	M 22574	MUNGO ZOON M	6	MUNGO ZOON M;M 22574;6	 Rp 299,000 	  174,915.00 	3	  524,745.00 
FOOTWERE	4054067 169794	M 22574	MUNGO ZOON M	8	MUNGO ZOON M;M 22574;8	 Rp 299,000 	  174,915.00 	3	  524,745.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4054067 169664	M 22575	MUNGO ZOON M	6	MUNGO ZOON M;M 22575;6	 Rp 299,000 	  174,915.00 	6	  1,049,490.00 
FOOTWERE	4054067 169671	M 22575	MUNGO ZOON M	7	MUNGO ZOON M;M 22575;7	 Rp 299,000 	  174,915.00 	3	  524,745.00 
FOOTWERE	4054067 169688	M 22575	MUNGO ZOON M	8	MUNGO ZOON M;M 22575;8	 Rp 299,000 	  174,915.00 	3	  524,745.00 
FOOTWERE	4054067 169695	M 22575	MUNGO ZOON M	9	MUNGO ZOON M;M 22575;9	 Rp 299,000 	  174,915.00 	1	  174,915.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4054067 989620	M 22756	DAROGA MID LEA	9-	DAROGA MID LEA;M 22756;9-	 Rp 1,199,000 	  701,415.00 	0	  -   
FOOTWERE	4054067 989637	M 22756	DAROGA MID LEA	10	DAROGA MID LEA;M 22756;10	 Rp 1,199,000 	  701,415.00 	3	  2,104,245.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4054075 157394	M 25752	ALQUA VARIO	8	ALQUA VARIO;M 25752;8	 Rp 329,000 	  192,465.00 	2	  384,930.00 
FOOTWERE					;;				  -   
FOOTWERE	4054075 347177	M 29686	ADIPURE	6	ADIPURE;M 29686;6	 Rp 1,299,000 	  759,915.00 	1	  759,915.00 
FOOTWERE	4054075 347214	M 29686	ADIPURE	8	ADIPURE;M 29686;8	 Rp 1,299,000 	  759,915.00 	1	  759,915.00 
FOOTWERE	4054075 347245	M 29686	ADIPURE	9-	ADIPURE;M 29686;9-	 Rp 1,299,000 	  759,915.00 	0	  -   
FOOTWERE					;;		  -   		  -   
FOOTWERE	4054075 060304	M 29898	NITROCHARGE 3.0 FG	6-	NITROCHARGE 3.0 FG;M 29898;6-	 Rp 749,000 	  438,165.00 	0	  -   
FOOTWERE					;;		  -   		  -   
FOOTWERE	4052551 003678	Q 20800	ADIPURE 360 SLIDE W	7	ADIPURE 360 SLIDE W;Q 20800;7	 Rp 449,000 	  262,665.00 	3	  787,995.00 
FOOTWERE	4052551 003685	Q 20800	ADIPURE 360 SLIDE W	8	ADIPURE 360 SLIDE W;Q 20800;8	 Rp 449,000 	  262,665.00 	2	  525,330.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4052551 077167	Q 20801	ADIPURE 360 SLIDE W	7	ADIPURE 360 SLIDE W;Q 20801;7	 Rp 449,000 	  262,665.00 	2	  525,330.00 
FOOTWERE	4052551 077174	Q 20801	ADIPURE 360 SLIDE W	8	ADIPURE 360 SLIDE W;Q 20801;8	 Rp 449,000 	  262,665.00 	1	  262,665.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4052551 022365	Q 20805	ADIZERO SLIDE 3 CC	9	ADIZERO SLIDE 3 CC;Q 20805;9	 Rp 449,000 	  262,665.00 	0	  -   
FOOTWERE	4052551 022372	Q 20805	ADIZERO SLIDE 3 CC	10	ADIZERO SLIDE 3 CC;Q 20805;10	 Rp 449,000 	  262,665.00 	3	  787,995.00 
FOOTWERE	4052551 022389	Q 20805	ADIZERO SLIDE 3 CC	11	ADIZERO SLIDE 3 CC;Q 20805;11	 Rp 449,000 	  262,665.00 	3	  787,995.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4052551 541262	Q 21098	TERRA SPORT MESH	6	TERRA SPORT MESH;Q 21098;6	 Rp 749,000 	  438,165.00 	0	  -   
FOOTWERE					;;		  -   		  -   
FOOTWERE	4053515 548730	Q 22068	D ROSE SC SLIDE M	6	D ROSE SC SLIDE M;Q 22068;6	 Rp 449,000 	  262,665.00 	4	  1,050,660.00 
FOOTWERE	4053515 548747	Q 22068	D ROSE SC SLIDE M	7	D ROSE SC SLIDE M;Q 22068;7	 Rp 449,000 	  262,665.00 	5	  1,313,325.00 
FOOTWERE	4053515 548754	Q 22068	D ROSE SC SLIDE M	8	D ROSE SC SLIDE M;Q 22068;8	 Rp 449,000 	  262,665.00 	6	  1,575,990.00 
FOOTWERE	4053515 548761	Q 22068	D ROSE SC SLIDE M	9	D ROSE SC SLIDE M;Q 22068;9	 Rp 449,000 	  262,665.00 	12	  3,151,980.00 
FOOTWERE	4053515 548778	Q 22068	D ROSE SC SLIDE M	10	D ROSE SC SLIDE M;Q 22068;10	 Rp 449,000 	  262,665.00 	5	  1,313,325.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055014 655377	S 22636	TS ENTRY	4	TS ENTRY;S 22636;4	 Rp 649,000 	  379,665.00 	1	  379,665.00 
FOOTWERE	4055014 284171	S 22636	TS ENTRY	6	TS ENTRY;S 22636;6	 Rp 649,000 	  379,665.00 	2	  759,330.00 
FOOTWERE	4055014 288377	S 22636	TS ENTRY	8	TS ENTRY;S 22636;8	 Rp 649,000 	  379,665.00 	0	  -   
FOOTWERE	4055014 284270	S 22636	TS ENTRY	10	TS ENTRY;S 22636;10	 Rp 649,000 	  379,665.00 	1	  379,665.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055338 095668	S 41839	SUPERSTAR SUPERCOLOR PACK	8	SUPERSTAR SUPERCOLOR PACK;S 41839;8	 Rp 1,299,000 	  759,915.00 	2	  1,519,830.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055342 392333	S 42066	CAROZOON MUCF 1	6	CAROZOON MUCF 1;S 42066;6	 Rp 449,000 	  262,665.00 	1	  262,665.00 
FOOTWERE	4055342 396423	S 42066	CAROZOON MUCF 2	7	CAROZOON MUCF 2;S 42066;7	 Rp 449,000 	  262,665.00 	2	  525,330.00 
FOOTWERE	4055342 396454	S 42066	CAROZOON MUCF 3	8	CAROZOON MUCF 3;S 42066;8	 Rp 449,000 	  262,665.00 	2	  525,330.00 
FOOTWERE	4055342 392326	S 42066	CAROZOON MUCF 4	9	CAROZOON MUCF 4;S 42066;9	 Rp 449,000 	  262,665.00 	2	  525,330.00 
FOOTWERE	4055342 396393	S 42066	CAROZOON MUCF 5	10	CAROZOON MUCF 5;S 42066;10	 Rp 449,000 	  262,665.00 	1	  262,665.00 
FOOTWERE	4055342 396461	S 42066	CAROZOON MUCF 6	11	CAROZOON MUCF 6;S 42066;11	 Rp 449,000 	  262,665.00 	1	  262,665.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055344 715277	S 74602	X 15.4 IN	6	X 15.4 IN;S 74602;6	 Rp 649,000 	  379,665.00 	1	  379,665.00 
FOOTWERE	4055344 715345	S 74602	X 15.4 IN	6-	X 15.4 IN;S 74602;6-	 Rp 649,000 	  379,665.00 	1	  379,665.00 
FOOTWERE	4055344 715321	S 74602	X 15.4 IN	7	X 15.4 IN;S 74602;7	 Rp 649,000 	  379,665.00 	1	  379,665.00 
FOOTWERE	4055344 715307	S 74602	X 15.4 IN	7-	X 15.4 IN;S 74602;7-	 Rp 649,000 	  379,665.00 	0	  -   
FOOTWERE	4055344 715291	S 74602	X 15.4 IN	8	X 15.4 IN;S 74602;8	 Rp 649,000 	  379,665.00 	1	  379,665.00 
FOOTWERE	4055344 715352	S 74602	X 15.4 IN	8-	X 15.4 IN;S 74602;8-	 Rp 649,000 	  379,665.00 	1	  379,665.00 
FOOTWERE	4055344 715352	S 74602	X 15.4 IN	9	X 15.4 IN;S 74602;9	 Rp 649,000 	  379,665.00 	1	  379,665.00 
FOOTWERE	4055344 711163	S 74602	X 15.4 IN	9-	X 15.4 IN;S 74602;9-	 Rp 649,000 	  379,665.00 	1	  379,665.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055344 646168	S 74632	X 15.3 FG/AG	6	X 15.3 FG/AG;S 74632;6	 Rp 999,000 	  584,415.00 	1	  584,415.00 
FOOTWERE	4055344 646045	S 74632	X 15.3 FG/AG	6-	X 15.3 FG/AG;S 74632;6-	 Rp 999,000 	  584,415.00 	1	  584,415.00 
FOOTWERE	4055344 646106	S 74632	X 15.3 FG/AG	7	X 15.3 FG/AG;S 74632;7	 Rp 999,000 	  584,415.00 	1	  584,415.00 
FOOTWERE	4055344 646120	S 74632	X 15.3 FG/AG	8	X 15.3 FG/AG;S 74632;8	 Rp 999,000 	  584,415.00 	0	  -   
FOOTWERE	4055344 650226	S 74632	X 15.3 FG/AG	8-	X 15.3 FG/AG;S 74632;8-	 Rp 999,000 	  584,415.00 	1	  584,415.00 
FOOTWERE	4055344 646076	S 74632	X 15.3 FG/AG	9	X 15.3 FG/AG;S 74632;9	 Rp 999,000 	  584,415.00 	1	  584,415.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055344 732632	S 74633	X 15.3 FG/AG	6	X 15.3 FG/AG;S 74633;6	 Rp 999,000 	  584,415.00 	1	  584,415.00 
FOOTWERE	4055344 732670	S 74633	X 15.3 FG/AG	6-	X 15.3 FG/AG;S 74633;6-	 Rp 999,000 	  584,415.00 	1	  584,415.00 
FOOTWERE	4055344 732564	S 74633	X 15.3 FG/AG	7	X 15.3 FG/AG;S 74633;7	 Rp 999,000 	  584,415.00 	1	  584,415.00 
FOOTWERE	4055344 732540	S 74633	X 15.3 FG/AG	7-	X 15.3 FG/AG;S 74633;7-	 Rp 999,000 	  584,415.00 	1	  584,415.00 
FOOTWERE	4055344 732571	S 74633	X 15.3 FG/AG	8	X 15.3 FG/AG;S 74633;8	 Rp 999,000 	  584,415.00 	1	  584,415.00 
FOOTWERE	4055344 732595	S 74633	X 15.3 FG/AG	8-	X 15.3 FG/AG;S 74633;8-	 Rp 999,000 	  584,415.00 	0	  -   
FOOTWERE	4055344 732625	S 74633	X 15.3 FG/AG	9	X 15.3 FG/AG;S 74633;9	 Rp 999,000 	  584,415.00 	1	  584,415.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055341 056250	S 75606	X 15.4 FXG	6	X 15.4 FXG;S 75606;6	 Rp 649,000 	  379,665.00 	1	  379,665.00 
FOOTWERE	4055341 056199	S 75606	X 15.4 FXG	6-	X 15.4 FXG;S 75606;6-	 Rp 649,000 	  379,665.00 	1	  379,665.00 
FOOTWERE	4055341 056205	S 75606	X 15.4 FXG	7	X 15.4 FXG;S 75606;7	 Rp 649,000 	  379,665.00 	1	  379,665.00 
FOOTWERE	4055341 060387	S 75606	X 15.4 FXG	7-	X 15.4 FXG;S 75606;7-	 Rp 649,000 	  379,665.00 	2	  759,330.00 
FOOTWERE	4055341 056236	S 75606	X 15.4 FXG	8	X 15.4 FXG;S 75606;8	 Rp 649,000 	  379,665.00 	1	  379,665.00 
FOOTWERE	4055341 056281	S 75606	X 15.4 FXG	8-	X 15.4 FXG;S 75606;8-	 Rp 649,000 	  379,665.00 	1	  379,665.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055338 650027	S 77486	CC GAZELE BOOST M	6	CC GAZELE BOOST M;S 77486;6	 Rp 1,499,000 	  876,915.00 	1	  876,915.00 
FOOTWERE	4055338 562399	S 77486	CC GAZELE BOOST M	8	CC GAZELE BOOST M;S 77486;8	 Rp 1,499,000 	  876,915.00 	0	  -   
FOOTWERE	4055338 649977	S 77486	CC GAZELE BOOST M	9	CC GAZELE BOOST M;S 77486;9	 Rp 1,499,000 	  876,915.00 	1	  876,915.00 
FOOTWERE	4055338 562429	S 77486	CC GAZELE BOOST M	10	CC GAZELE BOOST M;S 77486;10	 Rp 1,499,000 	  876,915.00 	2	  1,753,830.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055338 440420	S 77660	ADILETTE SUPERCOULD	10	ADILETTE SUPERCOULD;S 77660;10	 Rp 419,000 	  245,115.00 	1	  245,115.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055338 440253	S 77658	ADILLETTE SUPERCLOUD	6	ADILLETTE SUPERCLOUD;S 77658;6	 Rp 419,000 	  245,115.00 	0	  -   
FOOTWERE	4055338 440284	S 77658	ADILLETTE SUPERCLOUD	7	ADILLETTE SUPERCLOUD;S 77658;7	 Rp 419,000 	  245,115.00 	0	  -   
FOOTWERE	4055338 440260	S 77658	ADILLETTE SUPERCLOUD	8	ADILLETTE SUPERCLOUD;S 77658;8	 Rp 419,000 	  245,115.00 	0	  -   
FOOTWERE	4055338 440239	S 77658	ADILLETTE SUPERCLOUD	9	ADILLETTE SUPERCLOUD;S 77658;9	 Rp 419,000 	  245,115.00 	3	  735,345.00 
FOOTWERE	4055338 440277	S 77658	ADILLETTE SUPERCLOUD	10	ADILLETTE SUPERCLOUD;S 77658;10	 Rp 419,000 	  245,115.00 	3	  735,345.00 
FOOTWERE	4055338 440246	S 77658	ADILLETTE SUPERCLOUD	11	ADILLETTE SUPERCLOUD;S 77658;11	 Rp 419,000 	  245,115.00 	1	  245,115.00 
FOOTWERE					;;				  -   
FOOTWERE	4055338 774112	S 77685	DURAMO SLEEK MARBLE	4	DURAMO SLEEK MARBLE;S 77685;4	 Rp 239,000 	  139,815.00 	9	  1,258,335.00 
FOOTWERE	4055338 774082	S 77685	DURAMO SLEEK MARBLE	5	DURAMO SLEEK MARBLE;S 77685;5	 Rp 239,000 	  139,815.00 	10	  1,398,150.00 
FOOTWERE	4055338 774105	S 77685	DURAMO SLEEK MARBLE	6	DURAMO SLEEK MARBLE;S 77685;6	 Rp 239,000 	  139,815.00 	10	  1,398,150.00 
FOOTWERE	4055338 774075  	S 77685	DURAMO SLEEK MARBLE	7	DURAMO SLEEK MARBLE;S 77685;7	 Rp 239,000 	  139,815.00 	9	  1,258,335.00 
FOOTWERE					;;		  -   		  -   
