KATEGORI	BARCODE	ARTIKEL	NAMA	SIZE	NAM;ART;SIZE	HARGA JUAL	HARGA MODAL	QTY	HARGA NET
FOOTWERE	4055343 152653	F 99177	EASY VULC VS	6	EASY VULC VS;F 99177;6	 Rp 649,000 	  379,665.00 	1	  379,665.00 
FOOTWERE	4055343 152714	F 99177	EASY VULC VS	6-	EASY VULC VS;F 99177;6-	 Rp 649,000 	  379,665.00 	1	  379,665.00 
FOOTWERE	4055343 152684	F 99177	EASY VULC VS	7	EASY VULC VS;F 99177;7	 Rp 649,000 	  379,665.00 	1	  379,665.00 
FOOTWERE	4055343 152721 	F 99177	EASY VULC VS	7-	EASY VULC VS;F 99177;7-	 Rp 649,000 	  379,665.00 	1	  379,665.00 
FOOTWERE	4055343 152622	F 99177	EASY VULC VS	8	EASY VULC VS;F 99177;8	 Rp 649,000 	  379,665.00 	0	  -   
FOOTWERE	4055343 152677	F 99177	EASY VULC VS	8-	EASY VULC VS;F 99177;8-	 Rp 649,000 	  379,665.00 	1	  379,665.00 
FOOTWERE	4055343 152646	F 99177	EASY VULC VS	9	EASY VULC VS;F 99177;9	 Rp 649,000 	  379,665.00 	1	  379,665.00 
FOOTWERE	4055343 152691	F 99177	EASY VULC VS	9-	EASY VULC VS;F 99177;9-	 Rp 649,000 	  379,665.00 	1	  379,665.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055342 271720	F 99204	CACITY	6	CACITY;F 99204;6	 Rp 799,000 	  467,415.00 	0	  -   
FOOTWERE	4055342 271621	F 99204	CACITY	6-	CACITY;F 99204;6-	 Rp 799,000 	  467,415.00 	1	  467,415.00 
FOOTWERE	4055342 271652	F 99204	CACITY	7	CACITY;F 99204;7	 Rp 799,000 	  467,415.00 	1	  467,415.00 
FOOTWERE	4055342 271690	F 99204	CACITY	7-	CACITY;F 99204;7-	 Rp 799,000 	  467,415.00 	1	  467,415.00 
FOOTWERE	4055342 271676	F 99204	CACITY	8	CACITY;F 99204;8	 Rp 799,000 	  467,415.00 	1	  467,415.00 
FOOTWERE	4055342 271713	F 99204	CACITY	8-	CACITY;F 99204;8-	 Rp 799,000 	  467,415.00 	1	  467,415.00 
FOOTWERE	4055342 244069	F 99204	CACITY	9	CACITY;F 99204;9	 Rp 799,000 	  467,415.00 	0	  -   
FOOTWERE	4055342 271669	F 99204	CACITY	9	CACITY;F 99204;9	 Rp 799,000 	  467,415.00 	1	  467,415.00 
FOOTWERE	4055342 271638	F 99204	CACITY	10	CACITY;F 99204;10	 Rp 799,000 	  467,415.00 	2	  934,830.00 
FOOTWERE	4055342 271737	F 99204	CACITY	11	CACITY;F 99204;11	 Rp 799,000 	  467,415.00 	1	  467,415.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055341 705912	F 99205	CACITY	6	CACITY;F 99205;6	 Rp 799,000 	  467,415.00 	1	  467,415.00 
FOOTWERE	4055341 705868	F 99205	CACITY	6-	CACITY;F 99205;6-	 Rp 799,000 	  467,415.00 	1	  467,415.00 
FOOTWERE	4055341 708513	F 99205	CACITY	7	CACITY;F 99205;7	 Rp 799,000 	  467,415.00 	1	  467,415.00 
FOOTWERE	4055341 705844	F  99205	CACITY	7-	CACITY;F  99205;7-	 Rp 799,000 	  467,415.00 	1	  467,415.00 
FOOTWERE	4055341 710015	F 99205	CACITY	8	CACITY;F 99205;8	 Rp 799,000 	  467,415.00 	1	  467,415.00 
FOOTWERE	4055341 705929	F 99205	CACITY	8-	CACITY;F 99205;8-	 Rp 799,000 	  467,415.00 	0	  -   
FOOTWERE	4055341 705875	F 99205	CACITY	9	CACITY;F 99205;9	 Rp 799,000 	  467,415.00 	0	  -   
FOOTWERE	4055341 705905	F 99205	CACITY	9-	CACITY;F 99205;9-	 Rp 799,000 	  467,415.00 	1	  467,415.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055341 714563	F99206	CACITY	6	CACITY;F99206;6	 Rp 799,000 	  467,415.00 	1	  467,415.00 
FOOTWERE	4055341 718646	F 99206	CACITY	6-	CACITY;F 99206;6-	 Rp 799,000 	  467,415.00 	0	  -   
FOOTWERE	4055341 714549	F 99206	CACITY	7	CACITY;F 99206;7	 Rp 799,000 	  467,415.00 	0	  -   
FOOTWERE	4055341 714518	F 99206	CACITY	7-	CACITY;F 99206;7-	 Rp 799,000 	  467,415.00 	1	  467,415.00 
FOOTWERE	4055341 718677	F 99206	CACITY	8	CACITY;F 99206;8	 Rp 799,000 	  467,415.00 	0	  -   
FOOTWERE	4055341 718684	F 99206	CACITY	8-	CACITY;F 99206;8-	 Rp 799,000 	  467,415.00 	1	  467,415.00 
FOOTWERE	4055341 718653	F 99206	CACITY	9	CACITY;F 99206;9	 Rp 799,000 	  467,415.00 	0	  -   
FOOTWERE	4055341 718639	F 99206	CACITY	9-	CACITY;F 99206;9-	 Rp 799,000 	  467,415.00 	1	  467,415.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055342 039542	F 99329	NEO CITY RACER	9-	NEO CITY RACER;F 99329;9-	 Rp 829,000 	  484,965.00 	0	  -   
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055342 004786	F 99331	NEO CITY RACER	6	NEO CITY RACER;F 99331;6	 Rp 829,000 	  484,965.00 	1	  484,965.00 
FOOTWERE	4055342 000672	F 99331	NEO CITY RACER	6-	NEO CITY RACER;F 99331;6-	 Rp 829,000 	  484,965.00 	1	  484,965.00 
FOOTWERE	4055342 004809	F 99331	NEO CITY RACER	7-	NEO CITY RACER;F 99331;7-	 Rp 829,000 	  484,965.00 	1	  484,965.00 
FOOTWERE	4055342 000634	F 99331	NEO CITY RACER	8	NEO CITY RACER;F 99331;8	 Rp 829,000 	  484,965.00 	0	  -   
FOOTWERE	4055342 000696	F 99331	NEO CITY RACER	8-	NEO CITY RACER;F 99331;8-	 Rp 829,000 	  484,965.00 	1	  484,965.00 
FOOTWERE	4055342 000658	F 99331	NEO CITY RACER	9	NEO CITY RACER;F 99331;9	 Rp 829,000 	  484,965.00 	1	  484,965.00 
FOOTWERE	4055342 004755	F 99331	NEO CITY RACER	9-	NEO CITY RACER;F 99331;9-	 Rp 829,000 	  484,965.00 	1	  484,965.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055341 779067	F 99335	CITY RACER	6	CITY RACER;F 99335;6	 Rp 829,000 	  484,965.00 	1	  484,965.00 
FOOTWERE	4055341 779074	F 99335	CITY RACER	6-	CITY RACER;F 99335;6-	 Rp 829,000 	  484,965.00 	1	  484,965.00 
FOOTWERE	4055341 783163	F 99335	CITY RACER	8	CITY RACER;F 99335;8	 Rp 829,000 	  484,965.00 	0	  -   
FOOTWERE	4055341 783187	F 99335	CITY RACER	8-	CITY RACER;F 99335;8-	 Rp 829,000 	  484,965.00 	1	  484,965.00 
FOOTWERE	4055341 779043	F 99335	CITY RACER	9	CITY RACER;F 99335;9	 Rp 829,000 	  484,965.00 	0	  -   
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055341 757263	F 99336	CITY RACER	7-	CITY RACER;F 99336;7-	 Rp 829,000 	  484,965.00 	0	  -   
FOOTWERE	4055341 753104	F 99336	CITY RACER	8-	CITY RACER;F 99336;8-	 Rp 829,000 	  484,965.00 	0	  -   
FOOTWERE	4055341 757348	F 99336	CITY RACER	9	CITY RACER;F 99336;9	 Rp 829,000 	  484,965.00 	0	  -   
FOOTWERE	4055341 757294	F 99336	CITY RACER	9-	CITY RACER;F 99336;9-	 Rp 829,000 	  484,965.00 	1	  484,965.00 
FOOTWERE					;;		  -   		  -   
